Tema Queja;Año;Área;Número de quejas
Radiaciones electromagnéticas;2015;Usaquén;3
Radiaciones electromagnéticas;2015;Chapinero;4
Radiaciones electromagnéticas;2015;Santa Fe;0
Radiaciones electromagnéticas;2015;San Cristóbal;2
Radiaciones electromagnéticas;2015;Usme;3
Radiaciones electromagnéticas;2015;Tunjuelito;0
Radiaciones electromagnéticas;2015;Bosa;8
Radiaciones electromagnéticas;2015;Kennedy;12
Radiaciones electromagnéticas;2015;Fontibón;5
Radiaciones electromagnéticas;2015;Engativá;8
Radiaciones electromagnéticas;2015;Suba;15
Radiaciones electromagnéticas;2015;Barrios Unidos;1
Radiaciones electromagnéticas;2015;Teusaquillo;8
Radiaciones electromagnéticas;2015;Los Mártires;0
Radiaciones electromagnéticas;2015;Antonio Nariño;0
Radiaciones electromagnéticas;2015;Puente Aranda;5
Radiaciones electromagnéticas;2015;La Candelaria;1
Radiaciones electromagnéticas;2015;Rafael Uribe Uribe;1
Radiaciones electromagnéticas;2015;Ciudad Bolívar;3
Radiaciones electromagnéticas;2015;Distrito;79
Contaminación por aire;2016;Usaquén;2
Contaminación por aire;2016;Chapinero;7
Contaminación por aire;2016;Santa Fe;2
Contaminación por aire;2016;San Cristóbal;5
Contaminación por aire;2016;Usme;1
Contaminación por aire;2016;Tunjuelito;0
Contaminación por aire;2016;Bosa;17
Contaminación por aire;2016;Kennedy;3
Contaminación por aire;2016;Fontibón;1
Contaminación por aire;2016;Engativá;7
Contaminación por aire;2016;Suba;5
Contaminación por aire;2016;Barrios Unidos;3
Contaminación por aire;2016;Teusaquillo;3
Contaminación por aire;2016;Los Mártires;1
Contaminación por aire;2016;Antonio Nariño;0
Contaminación por aire;2016;Puente Aranda;2
Contaminación por aire;2016;La Candelaria;0
Contaminación por aire;2016;Rafael Uribe Uribe;6
Contaminación por aire;2016;Ciudad Bolívar;7
Contaminación por aire;2016;Distrito;72
Humo de tabaco;2016;Usaquén;5
Humo de tabaco;2016;Chapinero;1
Humo de tabaco;2016;Santa Fe;5
Humo de tabaco;2016;San Cristóbal;0
Humo de tabaco;2016;Usme;1
Humo de tabaco;2016;Tunjuelito;1
Humo de tabaco;2016;Bosa;3
Humo de tabaco;2016;Kennedy;1
Humo de tabaco;2016;Fontibón;3
Humo de tabaco;2016;Engativá;1
Humo de tabaco;2016;Suba;6
Humo de tabaco;2016;Barrios Unidos;1
Humo de tabaco;2016;Teusaquillo;2
Humo de tabaco;2016;Los Mártires;1
Humo de tabaco;2016;Antonio Nariño;2
Humo de tabaco;2016;Puente Aranda;0
Humo de tabaco;2016;La Candelaria;0
Humo de tabaco;2016;Rafael Uribe Uribe;0
Humo de tabaco;2016;Ciudad Bolívar;0
Humo de tabaco;2016;Distrito;33
Olores ofensivos;2016;Usaquén;0
Olores ofensivos;2016;Chapinero;14
Olores ofensivos;2016;Santa Fe;10
Olores ofensivos;2016;San Cristóbal;1
Olores ofensivos;2016;Usme;6
Olores ofensivos;2016;Tunjuelito;7
Olores ofensivos;2016;Bosa;27
Olores ofensivos;2016;Kennedy;4
Olores ofensivos;2016;Fontibón;5
Olores ofensivos;2016;Engativá;14
Olores ofensivos;2016;Suba;6
Olores ofensivos;2016;Barrios Unidos;13
Olores ofensivos;2016;Teusaquillo;5
Olores ofensivos;2016;Los Mártires;3
Olores ofensivos;2016;Antonio Nariño;2
Olores ofensivos;2016;Puente Aranda;1
Olores ofensivos;2016;La Candelaria;2
Olores ofensivos;2016;Rafael Uribe Uribe;1
Olores ofensivos;2016;Ciudad Bolívar;6
Olores ofensivos;2016;Distrito;127
Contaminación por ruido;2016;Usaquén;10
Contaminación por ruido;2016;Chapinero;12
Contaminación por ruido;2016;Santa Fe;4
Contaminación por ruido;2016;San Cristóbal;4
Contaminación por ruido;2016;Usme;6
Contaminación por ruido;2016;Tunjuelito;3
Contaminación por ruido;2016;Bosa;49
Contaminación por ruido;2016;Kennedy;5
Contaminación por ruido;2016;Fontibón;3
Contaminación por ruido;2016;Engativá;7
Contaminación por ruido;2016;Suba;8
Contaminación por ruido;2016;Barrios Unidos;8
Contaminación por ruido;2016;Teusaquillo;7
Contaminación por ruido;2016;Los Mártires;0
Contaminación por ruido;2016;Antonio Nariño;1
Contaminación por ruido;2016;Puente Aranda;0
Contaminación por ruido;2016;La Candelaria;1
Contaminación por ruido;2016;Rafael Uribe Uribe;1
Contaminación por ruido;2016;Ciudad Bolívar;1
Contaminación por ruido;2016;Distrito;130
Radiaciones electromagnéticas;2016;Usaquén;3
Radiaciones electromagnéticas;2016;Chapinero;9
Radiaciones electromagnéticas;2016;Santa Fe;0
Radiaciones electromagnéticas;2016;San Cristóbal;0
Radiaciones electromagnéticas;2016;Usme;2
Radiaciones electromagnéticas;2016;Tunjuelito;1
Radiaciones electromagnéticas;2016;Bosa;2
Radiaciones electromagnéticas;2016;Kennedy;3
Radiaciones electromagnéticas;2016;Fontibón;0
Radiaciones electromagnéticas;2016;Engativá;6
