Año encuesta;Localidad;Sexo;Aseguramiento;Estrato;Casos de sibilancia último año;Casos de tos último año diferente gripa;Casos de mocos o nariz tapada último año;Casos de ausentismo escolar;Casos de asistencia al colegio;Registros
2019;Usaquén;Hombre;Contributivo (EPS);4;1;0;1;1;4;5
2019;Usaquén;Hombre;Ninguno;1;0;0;1;0;1;1
2019;Usaquén;Hombre;Ninguno;2;1;1;2;0;0;3
2019;Usaquén;Hombre;Régimen excepcional;2;0;0;0;0;1;1
2019;Usaquén;Hombre;Subsidiado (EPSS);1;0;0;0;0;1;2
2019;Usaquén;Hombre;Subsidiado (EPSS);2;2;2;0;2;5;9
2019;Usaquén;Hombre;Subsidiado (EPSS);3;0;0;0;1;1;1
2019;Usaquén;Hombre;Subsidiado (EPSS);4;0;0;0;0;0;1
2019;Usaquén;Mujer;Contributivo (EPS);1;0;0;0;0;1;6
2019;Usaquén;Mujer;Contributivo (EPS);2;3;3;5;3;13;25
2019;Usaquén;Mujer;Contributivo (EPS);3;1;0;1;0;3;10
2019;Usaquén;Mujer;Contributivo (EPS);4;1;1;2;4;5;10
2019;Usaquén;Mujer;Ninguno;1;0;0;0;0;1;1
2019;Usaquén;Mujer;Régimen excepcional;3;0;1;0;1;1;1
2019;Usaquén;Mujer;Subsidiado (EPSS);1;0;0;0;0;1;1
2019;Usaquén;Mujer;Subsidiado (EPSS);2;0;0;0;0;3;4
2019;Usaquén;Mujer;Subsidiado (EPSS);3;0;0;0;0;0;1
2019;Usme;Hombre;Contributivo (EPS);1;0;2;8;2;9;20
2019;Usme;Hombre;Contributivo (EPS);2;7;4;6;2;6;16
2019;Usme;Hombre;Ninguno;1;0;0;2;0;0;2
2019;Usme;Hombre;Régimen excepcional;1;0;0;0;0;0;1
2019;Usme;Hombre;Subsidiado (EPSS);1;6;3;7;1;8;29
2019;Usme;Hombre;Subsidiado (EPSS);2;4;2;4;3;7;13
2019;Usme;Mujer;Contributivo (EPS);1;1;1;6;0;12;22
2019;Usme;Mujer;Contributivo (EPS);2;4;2;9;2;5;21
2019;Usme;Mujer;Ninguno;1;0;1;1;0;3;5
2019;Usme;Mujer;Régimen excepcional;1;0;0;0;0;1;2
2019;Usme;Mujer;Subsidiado (EPSS);1;3;1;6;0;6;15
2019;Usme;Mujer;Subsidiado (EPSS);2;2;3;4;1;2;11
2020;Antonio Nariño;Hombre;Contributivo (EPS);3;2;3;5;1;11;33
2020;Antonio Nariño;Hombre;Ninguno;3;0;0;1;0;0;2
2020;Antonio Nariño;Hombre;Régimen excepcional;3;0;0;0;0;1;2
2020;Antonio Nariño;Hombre;Subsidiado (EPSS);3;0;0;0;0;0;1
2020;Antonio Nariño;Mujer;Contributivo (EPS);3;0;2;6;1;20;34
2020;Antonio Nariño;Mujer;Ninguno;3;0;0;0;0;0;1
2020;Antonio Nariño;Mujer;Régimen excepcional;3;0;0;0;0;2;3
2020;Antonio Nariño;Mujer;Subsidiado (EPSS);2;0;0;0;0;0;2
2020;Antonio Nariño;Mujer;Subsidiado (EPSS);3;0;1;0;0;4;5
2020;Barrios Unidos;Hombre;Contributivo (EPS);2;0;0;1;0;2;7
2020;Barrios Unidos;Hombre;Contributivo (EPS);3;2;0;2;1;14;30
2020;Barrios Unidos;Hombre;Contributivo (EPS);4;1;0;3;0;1;5
2020;Barrios Unidos;Hombre;Subsidiado (EPSS);3;0;0;0;0;4;10
